Concept,Layer,Seed,Method,Train ACC,Test ACC
Unknown,out,5,CAR,0.79,0.78
Unknown,out,5,CAV,0.79,0.78
Unknown,fc,6,CAR,0.975,0.93
Unknown,fc,6,CAV,0.9475,0.93
Unknown,tqlayer_n,6,CAR,0.995,0.95
Unknown,tqlayer_n,6,CAV,0.9575,0.92
Unknown,tqlayer_n_remain,6,CAR,0.9125,0.82
Unknown,tqlayer_n_remain,6,CAV,0.7775,0.73
Unknown,out,6,CAR,0.7725,0.74
Unknown,out,6,CAV,0.7725,0.73
Unknown,fc,7,CAR,0.9675,0.94
Unknown,fc,7,CAV,0.955,0.92
Unknown,tqlayer_n,7,CAR,0.98,0.97
Unknown,tqlayer_n,7,CAV,0.9425,0.9
Unknown,tqlayer_n_remain,7,CAR,0.895,0.86
Unknown,tqlayer_n_remain,7,CAV,0.8175,0.84
Unknown,out,7,CAR,0.7775,0.77
Unknown,out,7,CAV,0.7625,0.78
Unknown,fc,8,CAR,0.9425,0.92
Unknown,fc,8,CAV,0.92,0.87
Unknown,tqlayer_n,8,CAR,1.0,0.97
Unknown,tqlayer_n,8,CAV,0.9325,0.9
Unknown,tqlayer_n_remain,8,CAR,0.8975,0.83
Unknown,tqlayer_n_remain,8,CAV,0.805,0.74
Unknown,out,8,CAR,0.8075,0.74
Unknown,out,8,CAV,0.805,0.74
Unknown,fc,9,CAR,0.945,0.94
Unknown,fc,9,CAV,0.91,0.9
Unknown,tqlayer_n,9,CAR,0.99,0.94
Unknown,tqlayer_n,9,CAV,0.93,0.91
Unknown,tqlayer_n_remain,9,CAR,0.9075,0.9
Unknown,tqlayer_n_remain,9,CAV,0.825,0.81
Unknown,out,9,CAR,0.8025,0.82
Unknown,out,9,CAV,0.7975,0.82
Unknown,fc,10,CAR,0.9475,0.89
Unknown,fc,10,CAV,0.92,0.84
Unknown,tqlayer_n,10,CAR,0.995,0.9
Unknown,tqlayer_n,10,CAV,0.9275,0.87
Unknown,tqlayer_n_remain,10,CAR,0.925,0.87
Unknown,tqlayer_n_remain,10,CAV,0.865,0.8
Unknown,out,10,CAR,0.8225,0.76
Unknown,out,10,CAV,0.8225,0.76
